Model,AUC-ROC,PR-AUC,F1-Score,Brier Score,Training Time,Inference Time
Logistic Regression,0.7734782987645369,0.2505296268240987,0.3214429095634057,0.1923521400782305,425.10087180137634,0.9726159572601318
Random Forest,0.7474957593356761,0.22090701731730528,0.2921632598265708,0.18559789903354834,270.947288274765,1.9188339710235596
XGBoost,0.7825008411789997,0.27141565349335056,0.3326644369656949,0.17910398031209016,144.62651944160461,1.1091177463531494
LightGBM,0.7834494283256676,0.27507614100826505,0.333581352925467,0.17427853951269545,163.1474678516388,1.8214750289916992
Standard MLP,0.7718753137922741,0.24927129768718015,0.3201872439560861,0.1964611059777279,252.99293327331543,0.21068525314331055
